"SOAcondition","accuracy","height","operation","response","rt","size","stimulus","subject_nr","tTrajectory","truth","width","xTrajectory","yTrajectory"
"negative","1","1050","add","2","1396","large","4_9_add_true.jpg","105","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0, 771.0, 785.0, 799.0, 813.0, 827.0, 841.0, 855.0, 869.0, 883.0, 897.0, 911.0, 925.0, 939.0, 953.0, 967.0, 981.0, 995.0, 1009.0, 1023.0, 1037.0, 1051.0, 1065.0, 1079.0, 1093.0, 1107.0, 1121.0, 1135.0, 1149.0, 1163.0, 1177.0, 1191.0, 1205.0, 1219.0, 1233.0, 1247.0, 1261.0, 1275.0, 1289.0, 1303.0, 1317.0, 1331.0, 1345.0, 1359.0, 1373.0, 1387.0]","true","1680","[840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 837, 833, 828, 827, 821, 806, 794, 788, 778, 770, 768, 768, 771, 780, 799, 805, 830, 851, 872, 882, 896, 910, 922, 930, 946, 958, 969, 971, 975, 980, 983, 984, 984, 986, 988, 988, 988, 988, 988, 988, 986, 986, 986, 988, 1010, 1040, 1101, 1134, 1195, 1285, 1354, 1399, 1453, 1514, 1548, 1563, 1578, 1580, 1580, 1580, 1580, 1579, 1579, 1578, 1578, 1578, 1578, 1578]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1008, 1003, 988, 964, 949, 927, 895, 873, 857, 835, 803, 782, 769, 744, 728, 704, 698, 674, 658, 640, 630, 614, 593, 581, 573, 557, 545, 531, 527, 513, 504, 491, 485, 475, 463, 453, 447, 438, 424, 413, 392, 380, 362, 332, 323, 293, 269, 232, 213, 181, 147, 125, 111, 97, 83, 77, 72, 65, 62, 58, 56, 54, 53, 53, 52, 52, 52, 52, 52]"
"negative","1","1050","mult","2","1994","large","9_7_mult_true.jpg","105","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0, 771.0, 785.0, 799.0, 813.0, 827.0, 841.0, 855.0, 869.0, 883.0, 897.0, 911.0, 925.0, 939.0, 953.0, 967.0, 981.0, 995.0, 1009.0, 1023.0, 1037.0, 1051.0, 1065.0, 1079.0, 1093.0, 1107.0, 1121.0, 1135.0, 1149.0, 1163.0, 1177.0, 1191.0, 1205.0, 1219.0, 1233.0, 1247.0, 1261.0, 1275.0, 1289.0, 1303.0, 1317.0, 1331.0, 1345.0, 1359.0, 1373.0, 1387.0, 1401.0, 1415.0, 1429.0, 1443.0, 1457.0, 1471.0, 1485.0, 1499.0, 1513.0, 1527.0, 1541.0, 1555.0, 1569.0, 1583.0, 1597.0, 1611.0, 1625.0, 1639.0, 1653.0, 1667.0, 1681.0, 1695.0, 1709.0, 1723.0, 1737.0, 1751.0, 1765.0, 1779.0, 1793.0, 1807.0, 1821.0, 1835.0, 1849.0, 1863.0, 1877.0, 1891.0, 1905.0, 1919.0, 1933.0, 1947.0, 1961.0, 1975.0, 1989.0]","true","1680","[840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 838, 836, 835, 835, 837, 841, 841, 841, 841, 841, 840, 837, 835, 835, 837, 842, 853, 861, 875, 897, 913, 923, 935, 943, 943, 942, 932, 926, 918, 917, 914, 911, 909, 909, 909, 911, 918, 919, 924, 930, 938, 942, 948, 955, 958, 961, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 963, 966, 968, 979, 996, 1012, 1024, 1047, 1082, 1117, 1144, 1202, 1244, 1301, 1327, 1364, 1406, 1435, 1450, 1469, 1485, 1494, 1498, 1509, 1518, 1533, 1537, 1555, 1568, 1590, 1602, 1619, 1637, 1644, 1644, 1644, 1645]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1007, 1004, 999, 984, 967, 936, 929, 898, 874, 844, 831, 810, 792, 778, 769, 754, 735, 726, 708, 682, 661, 646, 622, 591, 569, 557, 533, 520, 507, 505, 499, 493, 489, 487, 479, 473, 465, 463, 452, 444, 432, 427, 418, 409, 402, 399, 393, 389, 389, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 387, 383, 381, 375, 365, 355, 349, 336, 319, 299, 287, 261, 245, 222, 210, 193, 172, 158, 150, 141, 131, 127, 122, 112, 103, 88, 84, 68, 58, 42, 34, 22, 10, 3, 3, 3, 1]"
"negative","1","1050","add","1","1635","large","8_4_add_FI.jpg","105","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0, 771.0, 785.0, 799.0, 813.0, 827.0, 841.0, 855.0, 869.0, 883.0, 897.0, 911.0, 925.0, 939.0, 953.0, 967.0, 981.0, 995.0, 1009.0, 1023.0, 1037.0, 1051.0, 1065.0, 1079.0, 1093.0, 1107.0, 1121.0, 1135.0, 1149.0, 1163.0, 1177.0, 1191.0, 1205.0, 1219.0, 1233.0, 1247.0, 1261.0, 1275.0, 1289.0, 1303.0, 1317.0, 1331.0, 1345.0, 1359.0, 1373.0, 1387.0, 1401.0, 1415.0, 1429.0, 1443.0, 1457.0, 1471.0, 1485.0, 1499.0, 1513.0, 1527.0, 1541.0, 1555.0, 1569.0, 1583.0, 1597.0, 1611.0, 1625.0]","false","1680","[840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 839, 839, 837, 837, 837, 839, 839, 839, 838, 833, 833, 834, 836, 840, 853, 867, 879, 901, 931, 945, 952, 962, 966, 970, 971, 971, 971, 966, 962, 954, 944, 941, 934, 928, 922, 917, 916, 910, 903, 892, 885, 872, 841, 813, 788, 747, 690, 649, 620, 567, 532, 490, 480, 443, 417, 398, 356, 324, 284, 261, 249, 234, 229, 228, 225, 222, 217, 213, 208, 194, 173, 140, 133, 104, 97, 97, 97]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1009, 1003, 986, 974, 965, 939, 919, 894, 888, 869, 854, 838, 832, 820, 802, 786, 776, 756, 730, 711, 699, 677, 662, 641, 636, 613, 598, 578, 569, 557, 542, 538, 520, 508, 493, 481, 479, 466, 458, 446, 438, 426, 407, 385, 373, 350, 319, 299, 284, 259, 246, 226, 221, 203, 189, 179, 161, 147, 129, 118, 112, 99, 93, 91, 87, 83, 79, 76, 76, 73, 70, 67, 66, 66, 66, 66, 66]"
"negative","1","1050","add","2","1163","small","2_7_add_true.jpg","105","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0, 771.0, 785.0, 799.0, 813.0, 827.0, 841.0, 855.0, 869.0, 883.0, 897.0, 911.0, 925.0, 939.0, 953.0, 967.0, 981.0, 995.0, 1009.0, 1023.0, 1037.0, 1051.0, 1065.0, 1079.0, 1093.0, 1107.0, 1121.0, 1135.0, 1149.0, 1163.0]","true","1680","[840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 838, 832, 817, 813, 794, 772, 754, 747, 738, 735, 736, 739, 758, 779, 818, 830, 891, 938, 1004, 1033, 1078, 1140, 1182, 1210, 1247, 1286, 1312, 1319, 1341, 1358, 1371, 1396, 1416, 1442, 1462, 1476, 1499, 1532, 1554, 1564, 1576, 1580, 1581, 1582, 1585, 1590, 1594, 1598, 1603, 1607, 1614, 1617, 1619, 1621, 1621]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1008, 995, 968, 960, 919, 876, 845, 825, 797, 760, 734, 717, 682, 658, 627, 619, 586, 561, 524, 507, 484, 455, 439, 427, 409, 386, 365, 360, 341, 325, 314, 289, 270, 240, 218, 203, 185, 157, 139, 129, 119, 113, 109, 105, 101, 93, 86, 81, 69, 61, 46, 39, 33, 29, 29]"
"neutral","1","1050","mult","2","1110","small","2_7_mult_true.jpg","105","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0, 771.0, 785.0, 799.0, 813.0, 827.0, 841.0, 855.0, 869.0, 883.0, 897.0, 911.0, 925.0, 939.0, 953.0, 967.0, 981.0, 995.0, 1009.0, 1023.0, 1037.0, 1051.0, 1065.0, 1079.0, 1093.0, 1107.0]","true","1680","[840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 838, 831, 825, 814, 809, 801, 796, 794, 794, 794, 794, 792, 789, 784, 782, 782, 782, 782, 785, 793, 799, 810, 819, 826, 831, 839, 852, 862, 870, 891, 912, 946, 967, 998, 1052, 1098, 1131, 1179, 1249, 1298, 1330, 1387, 1421, 1458, 1466, 1492, 1508, 1520, 1527, 1538, 1552, 1566, 1572, 1584, 1591, 1601, 1603, 1612, 1612, 1612, 1612, 1612]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1001, 989, 969, 958, 945, 926, 909, 894, 871, 837, 809, 790, 757, 735, 706, 699, 672, 652, 626, 613, 592, 566, 545, 531, 509, 482, 462, 450, 428, 413, 392, 381, 362, 338, 318, 304, 285, 256, 236, 222, 198, 180, 159, 154, 141, 131, 120, 114, 103, 85, 71, 65, 50, 41, 32, 30, 22, 20, 20, 20, 20]"
"neutral","1","1050","mult","2","1036","small","3_6_mult_true.jpg","105","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0, 771.0, 785.0, 799.0, 813.0, 827.0, 841.0, 855.0, 869.0, 883.0, 897.0, 911.0, 925.0, 939.0, 953.0, 967.0, 981.0, 995.0, 1009.0, 1023.0]","true","1680","[840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 841, 838, 825, 813, 805, 794, 774, 757, 748, 735, 730, 729, 729, 740, 753, 775, 788, 809, 841, 863, 879, 909, 955, 1012, 1026, 1085, 1128, 1188, 1217, 1258, 1312, 1349, 1370, 1404, 1442, 1473, 1493, 1528, 1550, 1572, 1577, 1590, 1599, 1608, 1609, 1609, 1609, 1609, 1609, 1609, 1609, 1609, 1609, 1609, 1609]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1009, 1005, 983, 960, 944, 916, 873, 843, 824, 792, 770, 741, 734, 708, 688, 666, 654, 637, 608, 588, 575, 552, 522, 488, 481, 446, 424, 400, 389, 376, 360, 347, 337, 321, 298, 279, 264, 233, 214, 191, 186, 166, 155, 143, 139, 135, 133, 131, 131, 127, 123, 121, 119, 117, 115]"
"neutral","1","1050","add","1","1359","small","5_3_add_FI.jpg","105","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0, 771.0, 785.0, 799.0, 813.0, 827.0, 841.0, 855.0, 869.0, 883.0, 897.0, 911.0, 925.0, 939.0, 953.0, 967.0, 981.0, 995.0, 1009.0, 1023.0, 1037.0, 1051.0, 1065.0, 1079.0, 1093.0, 1107.0, 1121.0, 1135.0, 1149.0, 1163.0, 1177.0, 1191.0, 1205.0, 1219.0, 1233.0, 1247.0, 1261.0, 1275.0, 1289.0, 1303.0, 1317.0, 1331.0, 1345.0, 1359.0]","false","1680","[840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 839, 827, 823, 808, 794, 772, 758, 739, 718, 707, 704, 702, 702, 709, 717, 741, 760, 797, 805, 847, 899, 942, 971, 1007, 1048, 1067, 1076, 1080, 1069, 1045, 1037, 996, 957, 898, 866, 820, 756, 708, 678, 630, 565, 494, 476, 408, 364, 317, 298, 270, 243, 229, 224, 224, 224, 224, 223, 222, 222, 222, 222, 222, 222, 222, 223, 223, 223, 223, 221, 213, 173, 128, 96, 61, 32, 29, 29, 29, 29, 29]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1006, 989, 982, 955, 929, 888, 866, 835, 798, 772, 754, 731, 701, 682, 668, 641, 621, 592, 584, 546, 506, 474, 452, 419, 387, 366, 354, 333, 319, 298, 293, 274, 263, 248, 245, 241, 234, 229, 226, 220, 211, 189, 184, 165, 155, 143, 136, 127, 112, 104, 100, 96, 96, 96, 95, 94, 94, 94, 94, 94, 94, 94, 93, 93, 93, 93, 93, 91, 85, 71, 60, 45, 39, 38, 38, 38, 38, 37]"
"neutral","1","1050","mult","2","1117","small","2_7_mult_true.jpg","105","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0, 771.0, 785.0, 799.0, 813.0, 827.0, 841.0, 855.0, 869.0, 883.0, 897.0, 911.0, 925.0, 939.0, 953.0, 967.0, 981.0, 995.0, 1009.0, 1023.0, 1037.0, 1051.0, 1065.0, 1079.0, 1093.0, 1107.0]","true","1680","[840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 834, 827, 811, 796, 783, 782, 782, 782, 787, 794, 806, 818, 825, 829, 832, 837, 847, 856, 882, 909, 961, 989, 1034, 1098, 1145, 1175, 1217, 1269, 1301, 1321, 1355, 1378, 1415, 1424, 1469, 1503, 1548, 1571, 1605, 1639, 1657, 1668, 1674, 1676, 1678, 1678, 1678, 1678, 1678, 1678, 1678, 1678, 1678, 1678, 1678, 1678, 1678, 1678]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1006, 985, 960, 902, 861, 819, 808, 771, 743, 706, 688, 662, 628, 605, 589, 567, 540, 522, 512, 492, 474, 447, 432, 411, 380, 359, 346, 330, 310, 297, 289, 275, 263, 248, 243, 226, 210, 185, 174, 157, 137, 124, 117, 108, 102, 98, 96, 94, 92, 88, 86, 80, 76, 68, 66, 62, 62, 62, 62]"
"negative","1","1050","add","2","1086","large","6_8_add_true.jpg","105","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0, 771.0, 785.0, 799.0, 813.0, 827.0, 841.0, 855.0, 869.0, 883.0, 897.0, 911.0, 925.0, 939.0, 953.0, 967.0, 981.0, 995.0, 1009.0, 1023.0, 1037.0, 1051.0, 1065.0, 1079.0]","true","1680","[840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 838, 837, 835, 835, 840, 847, 856, 858, 859, 859, 859, 859, 859, 859, 859, 863, 873, 895, 910, 931, 957, 978, 991, 1013, 1039, 1063, 1079, 1111, 1137, 1167, 1183, 1209, 1247, 1278, 1298, 1324, 1363, 1390, 1408, 1443, 1469, 1499, 1507, 1539, 1562, 1590, 1602, 1617, 1639, 1650, 1655, 1660, 1666, 1673, 1673, 1673, 1674, 1676]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1009, 1000, 989, 983, 970, 953, 924, 916, 885, 868, 857, 836, 820, 801, 796, 773, 752, 720, 704, 673, 631, 601, 580, 548, 506, 479, 462, 433, 413, 388, 375, 358, 339, 322, 312, 298, 278, 262, 251, 226, 206, 183, 177, 158, 143, 123, 113, 96, 76, 64, 58, 52, 47, 41, 39, 39, 38, 36]"
"negative","1","1050","mult","1","1277","small","5_3_mult_FNI.jpg","105","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0, 771.0, 785.0, 799.0, 813.0, 827.0, 841.0, 855.0, 869.0, 883.0, 897.0, 911.0, 925.0, 939.0, 953.0, 967.0, 981.0, 995.0, 1009.0, 1023.0, 1037.0, 1051.0, 1065.0, 1079.0, 1093.0, 1107.0, 1121.0, 1135.0, 1149.0, 1163.0, 1177.0, 1191.0, 1205.0, 1219.0, 1233.0, 1247.0, 1261.0, 1275.0]","false","1680","[840, 838, 837, 837, 836, 835, 834, 833, 833, 833, 833, 833, 833, 833, 835, 838, 841, 845, 845, 845, 845, 843, 843, 843, 843, 845, 855, 876, 897, 922, 927, 949, 960, 967, 969, 971, 979, 983, 1006, 1029, 1062, 1089, 1112, 1158, 1201, 1258, 1283, 1318, 1356, 1375, 1380, 1380, 1364, 1339, 1315, 1250, 1186, 1079, 1051, 933, 849, 757, 719, 671, 614, 583, 565, 534, 518, 502, 500, 496, 488, 477, 465, 440, 396, 354, 323, 257, 205, 145, 135, 109, 109, 109, 109, 108, 108, 108, 108]","[1010, 1009, 1005, 1003, 1000, 997, 996, 993, 993, 991, 989, 985, 981, 977, 970, 956, 944, 923, 913, 893, 868, 854, 846, 832, 812, 804, 786, 754, 730, 698, 690, 659, 633, 593, 571, 539, 505, 498, 469, 449, 421, 399, 385, 359, 342, 324, 314, 303, 288, 280, 274, 265, 251, 236, 224, 194, 175, 157, 154, 143, 139, 138, 138, 138, 138, 138, 138, 138, 138, 138, 138, 136, 136, 134, 130, 123, 117, 111, 104, 91, 81, 72, 71, 67, 67, 67, 67, 66, 66, 66, 66]"
