"SOAcondition","accuracy","height","operation","response","rt","size","stimulus","subject_nr","tTrajectory","truth","width","xTrajectory","yTrajectory"
"neutral","1","1050","mult","1","1444","small","2_7_mult_FI.jpg","115","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0, 771.0, 785.0, 799.0, 813.0, 827.0, 841.0, 855.0, 869.0, 883.0, 897.0, 911.0, 925.0, 939.0, 953.0, 967.0, 981.0, 995.0, 1009.0, 1023.0, 1037.0, 1051.0, 1065.0, 1079.0, 1093.0, 1107.0, 1121.0, 1135.0, 1149.0, 1163.0, 1177.0, 1191.0, 1205.0, 1219.0, 1233.0, 1247.0, 1261.0, 1275.0, 1289.0, 1303.0, 1317.0, 1331.0, 1345.0, 1359.0, 1373.0, 1387.0, 1401.0, 1415.0, 1429.0, 1443.0]","false","1680","[840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 838, 837, 836, 833, 827, 821, 817, 809, 800, 784, 780, 766, 750, 736, 723, 705, 674, 642, 618, 566, 520, 458, 442, 376, 328, 274, 253, 230, 212, 207, 204, 192, 178, 169, 167, 157, 150, 144, 144, 145, 164, 204, 300, 332, 500, 649, 869, 973, 1115, 1255, 1332, 1364, 1395, 1411, 1412, 1412, 1412, 1412, 1411, 1407, 1391, 1375, 1366, 1355, 1343, 1297, 1278, 1174, 1063, 874, 778, 629, 436, 310, 245, 174, 118, 105, 103, 102, 104, 106, 106, 101, 93, 73, 68, 59, 59, 59, 59]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1008, 1006, 1002, 1000, 998, 992, 987, 982, 973, 963, 937, 929, 895, 856, 823, 801, 766, 714, 669, 637, 571, 517, 444, 427, 361, 313, 265, 250, 229, 207, 191, 179, 155, 134, 122, 120, 111, 99, 86, 82, 76, 68, 65, 65, 65, 63, 63, 61, 61, 55, 38, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 7, 9, 15, 19, 29, 32, 44, 45, 48, 48, 43, 34, 24, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]"
"neutral","1","1050","mult","2","1295","small","2_7_mult_true.jpg","115","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0, 771.0, 785.0, 799.0, 813.0, 827.0, 841.0, 855.0, 869.0, 883.0, 897.0, 911.0, 925.0, 939.0, 953.0, 967.0, 981.0, 995.0, 1009.0, 1023.0, 1037.0, 1051.0, 1065.0, 1079.0, 1093.0, 1107.0, 1121.0, 1135.0, 1149.0, 1163.0, 1177.0, 1191.0, 1205.0, 1219.0, 1233.0, 1247.0, 1261.0, 1275.0, 1289.0]","true","1680","[840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 838, 836, 818, 794, 778, 755, 719, 685, 655, 593, 545, 477, 442, 382, 312, 265, 232, 184, 126, 103, 96, 94, 94, 93, 93, 93, 93, 93, 93, 98, 113, 159, 176, 275, 372, 529, 621, 765, 957, 1092, 1169, 1267, 1360, 1410, 1437, 1475, 1491, 1515, 1531, 1556, 1583, 1601, 1615, 1640, 1677, 1679, 1679, 1679, 1679, 1679]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1009, 1005, 985, 961, 944, 920, 883, 846, 816, 752, 701, 619, 576, 508, 415, 353, 319, 271, 223, 207, 203, 201, 201, 197, 195, 181, 153, 134, 126, 119, 109, 95, 92, 88, 88, 90, 90, 90, 90, 90, 90, 89, 83, 77, 71, 64, 58, 47, 39, 19, 0, 0, 0, 0, 7, 17, 21, 21, 25, 29]"
"neutral","0","1050","mult","2","1518","small","3_6_mult_FNI.jpg","115","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0, 771.0, 785.0, 799.0, 813.0, 827.0, 841.0, 855.0, 869.0, 883.0, 897.0, 911.0, 925.0, 939.0, 953.0, 967.0, 981.0, 995.0, 1009.0, 1023.0, 1037.0, 1051.0, 1065.0, 1079.0, 1093.0, 1107.0, 1121.0, 1135.0, 1149.0, 1163.0, 1177.0, 1191.0, 1205.0, 1219.0, 1233.0, 1247.0, 1261.0, 1275.0, 1289.0, 1303.0, 1317.0, 1331.0, 1345.0, 1359.0, 1373.0, 1387.0, 1401.0, 1415.0, 1429.0, 1443.0, 1457.0, 1471.0, 1485.0, 1499.0, 1513.0]","false","1680","[840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 839, 838, 834, 827, 819, 811, 791, 770, 736, 725, 668, 620, 548, 508, 446, 373, 318, 283, 219, 175, 137, 132, 127, 149, 194, 241, 330, 477, 610, 706, 896, 1027, 1165, 1240, 1272, 1293, 1294, 1294, 1294, 1295, 1298, 1306, 1309, 1321, 1326, 1328, 1328, 1329, 1331, 1333, 1349, 1374, 1428, 1460, 1508, 1572, 1618, 1647, 1679, 1679, 1679, 1679, 1679, 1679, 1679, 1679, 1679, 1679]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1008, 999, 979, 955, 933, 870, 810, 708, 678, 551, 455, 333, 288, 235, 187, 163, 148, 117, 96, 76, 72, 65, 65, 65, 66, 67, 67, 67, 67, 66, 58, 55, 55, 55, 52, 50, 46, 44, 36, 34, 26, 24, 13, 6, 0, 0, 0, 0, 0, 0, 2, 4, 6, 9, 15, 20, 21, 29, 37, 40, 40, 40, 40, 40, 40, 40, 40]"
"negative","1","1050","mult","2","1259","small","8_2_mult_true.jpg","115","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0, 771.0, 785.0, 799.0, 813.0, 827.0, 841.0, 855.0, 869.0, 883.0, 897.0, 911.0, 925.0, 939.0, 953.0, 967.0, 981.0, 995.0, 1009.0, 1023.0, 1037.0, 1051.0, 1065.0, 1079.0, 1093.0, 1107.0, 1121.0, 1135.0, 1149.0, 1163.0, 1177.0, 1191.0, 1205.0, 1219.0, 1233.0, 1247.0]","true","1680","[840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 838, 837, 836, 835, 834, 834, 832, 832, 835, 844, 864, 894, 962, 1083, 1173, 1230, 1338, 1406, 1469, 1490, 1503, 1505, 1495, 1481, 1460, 1438, 1424, 1419, 1418, 1418, 1418, 1420, 1422, 1425, 1427, 1431, 1437, 1446, 1461, 1474, 1503, 1553, 1594, 1615, 1652, 1659, 1660, 1658, 1654, 1654, 1654, 1654, 1654, 1654, 1654, 1654, 1654]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1008, 1006, 1004, 1003, 1002, 1000, 996, 994, 990, 977, 957, 933, 885, 783, 686, 614, 473, 394, 326, 305, 278, 241, 208, 189, 168, 154, 150, 149, 146, 139, 132, 126, 120, 114, 110, 106, 98, 87, 75, 69, 60, 37, 0, 0, 0, 0, 4, 15, 35, 52, 55, 55, 55, 55, 55, 55, 55]"
"negative","1","1050","mult","2","1050","large","8_4_mult_true.jpg","115","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0, 771.0, 785.0, 799.0, 813.0, 827.0, 841.0, 855.0, 869.0, 883.0, 897.0, 911.0, 925.0, 939.0, 953.0, 967.0, 981.0, 995.0, 1009.0, 1023.0, 1037.0]","true","1680","[840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 841, 845, 847, 855, 855, 855, 855, 855, 855, 855, 855, 855, 855, 856, 855, 848, 841, 833, 822, 791, 761, 724, 717, 712, 725, 746, 760, 787, 846, 895, 931, 1003, 1064, 1150, 1172, 1265, 1329, 1408, 1441, 1485, 1535, 1564, 1580, 1603, 1627, 1641, 1642, 1644, 1644, 1645, 1646, 1646, 1646]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1006, 1004, 1002, 1002, 1002, 1001, 1001, 1001, 1003, 1003, 1003, 1003, 1003, 1003, 1003, 1003, 1003, 1003, 1002, 1000, 991, 959, 929, 908, 847, 791, 714, 695, 623, 554, 501, 467, 420, 355, 311, 281, 233, 202, 165, 157, 129, 109, 92, 87, 83, 80, 78, 76, 68, 53, 39, 36, 30, 24, 21, 20, 20, 20]"
"negative","1","1050","add","1","1385","large","9_7_add_FI.jpg","115","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0, 771.0, 785.0, 799.0, 813.0, 827.0, 841.0, 855.0, 869.0, 883.0, 897.0, 911.0, 925.0, 939.0, 953.0, 967.0, 981.0, 995.0, 1009.0, 1023.0, 1037.0, 1051.0, 1065.0, 1079.0, 1093.0, 1107.0, 1121.0, 1135.0, 1149.0, 1163.0, 1177.0, 1191.0, 1205.0, 1219.0, 1233.0, 1247.0, 1261.0, 1275.0, 1289.0, 1303.0, 1317.0, 1331.0, 1345.0, 1359.0, 1373.0]","false","1680","[840, 841, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 839, 839, 839, 839, 839, 839, 838, 837, 837, 837, 837, 837, 837, 837, 837, 837, 837, 836, 836, 836, 836, 835, 835, 836, 836, 837, 837, 837, 837, 837, 837, 837, 837, 838, 840, 842, 846, 852, 854, 862, 868, 874, 877, 879, 882, 883, 882, 878, 869, 860, 854, 845, 827, 807, 791, 759, 728, 682, 671, 622, 576, 511, 478, 424, 347, 297, 265, 205, 172, 144, 141, 132, 132, 130, 129, 127, 125, 122, 119, 116, 110, 107, 107, 107]","[1010, 1007, 1005, 1005, 1005, 1005, 1005, 1005, 1005, 1005, 1005, 1005, 1005, 1005, 1003, 1003, 1003, 1003, 1003, 1003, 1001, 999, 999, 999, 999, 999, 999, 999, 999, 999, 999, 998, 998, 998, 998, 997, 995, 993, 993, 992, 991, 991, 989, 989, 989, 989, 987, 986, 985, 982, 978, 973, 971, 965, 960, 953, 949, 947, 944, 941, 939, 933, 925, 916, 911, 905, 891, 880, 867, 830, 782, 705, 682, 567, 473, 355, 301, 229, 155, 119, 104, 90, 90, 97, 99, 102, 102, 99, 96, 88, 75, 67, 63, 58, 53, 51, 51, 51]"
"negative","0","1050","add","2","1184","small","8_2_add_FI.jpg","115","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0, 771.0, 785.0, 799.0, 813.0, 827.0, 841.0, 855.0, 869.0, 883.0, 897.0, 911.0, 925.0, 939.0, 953.0, 967.0, 981.0, 995.0, 1009.0, 1023.0, 1037.0, 1051.0, 1065.0, 1079.0, 1093.0, 1107.0, 1121.0, 1135.0, 1149.0, 1163.0, 1177.0]","false","1680","[840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 838, 833, 831, 826, 820, 808, 800, 788, 776, 774, 774, 781, 789, 794, 801, 818, 833, 857, 868, 888, 918, 951, 979, 1027, 1102, 1163, 1205, 1288, 1343, 1406, 1420, 1469, 1494, 1522, 1531, 1546, 1564, 1573, 1580, 1591, 1601, 1613, 1615, 1617, 1617, 1620]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1008, 1007, 1007, 1004, 1000, 989, 981, 969, 947, 922, 902, 869, 830, 804, 792, 775, 767, 760, 756, 748, 724, 692, 662, 615, 532, 469, 427, 358, 315, 277, 270, 233, 189, 107, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"neutral","1","1050","mult","1","1265","large","9_7_mult_FI.jpg","115","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0, 771.0, 785.0, 799.0, 813.0, 827.0, 841.0, 855.0, 869.0, 883.0, 897.0, 911.0, 925.0, 939.0, 953.0, 967.0, 981.0, 995.0, 1009.0, 1023.0, 1037.0, 1051.0, 1065.0, 1079.0, 1093.0, 1107.0, 1121.0, 1135.0, 1149.0, 1163.0, 1177.0, 1191.0, 1205.0, 1219.0, 1233.0, 1247.0, 1261.0]","false","1680","[840, 839, 833, 829, 826, 821, 816, 809, 806, 802, 799, 799, 799, 799, 799, 799, 799, 799, 798, 795, 793, 787, 774, 761, 751, 730, 700, 675, 670, 656, 647, 638, 635, 632, 632, 632, 632, 632, 633, 645, 660, 692, 723, 780, 796, 883, 958, 1077, 1130, 1198, 1266, 1314, 1345, 1392, 1412, 1420, 1419, 1401, 1373, 1305, 1260, 1176, 1048, 952, 887, 774, 617, 511, 446, 328, 261, 200, 189, 168, 168, 168, 166, 168, 168, 166, 166, 166, 165, 163, 162, 162, 162, 162, 162, 162]","[1007, 994, 985, 967, 957, 942, 924, 911, 905, 896, 893, 893, 893, 893, 893, 893, 893, 893, 892, 890, 885, 873, 853, 831, 815, 791, 759, 736, 733, 717, 710, 703, 699, 698, 698, 698, 698, 696, 690, 681, 670, 642, 618, 587, 579, 539, 501, 437, 405, 357, 293, 246, 218, 173, 150, 126, 124, 111, 101, 99, 99, 99, 99, 99, 98, 95, 95, 99, 99, 102, 103, 103, 103, 103, 103, 103, 102, 96, 90, 86, 86, 86, 85, 85, 84, 84, 84, 84, 84, 84]"
"negative","1","1050","add","2","2131","small","5_3_add_true.jpg","115","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0, 771.0, 785.0, 799.0, 813.0, 827.0, 841.0, 855.0, 869.0, 883.0, 897.0, 911.0, 925.0, 939.0, 953.0, 967.0, 981.0, 995.0, 1009.0, 1023.0, 1037.0, 1051.0, 1065.0, 1079.0, 1093.0, 1107.0, 1121.0, 1135.0, 1149.0, 1163.0, 1177.0, 1191.0, 1205.0, 1219.0, 1233.0, 1247.0, 1261.0, 1275.0, 1289.0, 1303.0, 1317.0, 1331.0, 1345.0, 1359.0, 1373.0, 1387.0, 1401.0, 1415.0, 1429.0, 1443.0, 1457.0, 1471.0, 1485.0, 1499.0, 1513.0, 1527.0, 1541.0, 1555.0, 1569.0, 1583.0, 1597.0, 1611.0, 1625.0, 1639.0, 1653.0, 1667.0, 1681.0, 1695.0, 1709.0, 1723.0, 1737.0, 1751.0, 1765.0, 1779.0, 1793.0, 1807.0, 1821.0, 1835.0, 1849.0, 1863.0, 1877.0, 1891.0, 1905.0, 1919.0, 1933.0, 1947.0, 1961.0, 1975.0, 1989.0, 2003.0, 2017.0, 2031.0, 2045.0, 2059.0, 2073.0, 2087.0, 2101.0, 2115.0, 2129.0]","true","1680","[840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 840, 839, 839, 839, 839, 839, 839, 839, 839, 839, 839, 839, 839, 839, 839, 839, 839, 839, 839, 839, 839, 837, 835, 835, 832, 831, 829, 828, 827, 825, 823, 821, 821, 821, 821, 821, 821, 821, 821, 821, 817, 811, 804, 796, 780, 766, 740, 732, 700, 668, 646, 630, 609, 579, 558, 544, 512, 480, 423, 407, 342, 294, 240, 224, 203, 181, 164, 159, 154, 151, 145, 143, 129, 121, 115, 114, 112, 115, 121, 127, 140, 169, 208, 240, 323, 404, 532, 565, 708, 840, 936, 995, 1073, 1152, 1202, 1236, 1310, 1360, 1415, 1425, 1450, 1455, 1455, 1455, 1456, 1459, 1465, 1472, 1485, 1509, 1526, 1533, 1538, 1541, 1549, 1553, 1559, 1563, 1563, 1564, 1564, 1564, 1564, 1564, 1564, 1564, 1564, 1564]","[1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1010, 1008, 1008, 1008, 1007, 1007, 1007, 1007, 1007, 1007, 1007, 1007, 1007, 1007, 1007, 1007, 1007, 1007, 1007, 1007, 1007, 1007, 1007, 1007, 1007, 1007, 1007, 1008, 1009, 1009, 1010, 1012, 1013, 1014, 1016, 1016, 1016, 1016, 1016, 1016, 1016, 1016, 1016, 1014, 1008, 999, 993, 975, 960, 931, 923, 891, 859, 835, 818, 786, 748, 712, 682, 618, 569, 497, 476, 407, 359, 301, 279, 252, 229, 222, 218, 216, 213, 201, 196, 177, 161, 142, 133, 121, 105, 95, 88, 79, 62, 54, 48, 41, 33, 30, 27, 1, 0, 0, 0, 0, 0, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 5, 6, 8, 9, 10, 13, 14, 14, 15, 17, 25, 29, 33, 37, 37, 39, 39, 39, 39, 39, 39, 39, 39, 39]"
"neutral","1","1050","mult","1","1141","small","5_3_mult_FNI.jpg","115","[15.0, 29.0, 43.0, 57.0, 71.0, 85.0, 99.0, 113.0, 127.0, 141.0, 155.0, 169.0, 183.0, 197.0, 211.0, 225.0, 239.0, 253.0, 267.0, 281.0, 295.0, 309.0, 323.0, 337.0, 351.0, 365.0, 379.0, 393.0, 407.0, 421.0, 435.0, 449.0, 463.0, 477.0, 491.0, 505.0, 519.0, 533.0, 547.0, 561.0, 575.0, 589.0, 603.0, 617.0, 631.0, 645.0, 659.0, 673.0, 687.0, 701.0, 715.0, 729.0, 743.0, 757.0, 771.0, 785.0, 799.0, 813.0, 827.0, 841.0, 855.0, 869.0, 883.0, 897.0, 911.0, 925.0, 939.0, 953.0, 967.0, 981.0, 995.0, 1009.0, 1023.0, 1037.0, 1051.0, 1065.0, 1079.0, 1093.0, 1107.0, 1121.0, 1135.0]","false","1680","[840, 840, 840, 840, 840, 840, 839, 838, 838, 838, 838, 839, 840, 836, 836, 836, 835, 834, 834, 833, 833, 833, 833, 833, 833, 833, 833, 833, 831, 827, 824, 822, 823, 827, 829, 830, 829, 825, 823, 819, 811, 802, 794, 778, 763, 747, 741, 702, 656, 591, 559, 505, 438, 388, 356, 315, 280, 256, 252, 245, 240, 224, 215, 197, 180, 170, 161, 150, 131, 117, 107, 89, 74, 55, 53, 52, 52, 52, 52, 52, 52]","[1008, 1006, 1006, 1006, 1004, 1002, 1001, 1000, 1000, 1000, 1000, 997, 992, 988, 988, 986, 985, 982, 982, 979, 979, 979, 979, 979, 979, 979, 979, 979, 981, 987, 992, 998, 1003, 1007, 1010, 1012, 1013, 1013, 1013, 1011, 1004, 993, 980, 945, 903, 823, 798, 682, 587, 461, 405, 338, 276, 249, 234, 223, 221, 221, 221, 219, 217, 207, 201, 192, 178, 167, 161, 149, 131, 117, 109, 91, 77, 58, 54, 46, 46, 46, 46, 46, 46]"
