SOAcondition,Unnamed: 12,Unnamed: 13,accuracy,height,operation,response,rt,size,stimulus,subject_nr,truth,width,md,auc,xflips,init_time
negative,,,1,1050,add,2,2493,large,6_8_add_true.jpg,101,True,1680,0.387716633175,-0.0268091701207,4,220.0
negative,,,1,1050,add,2,984,small,5_3_add_true.jpg,101,True,1680,-0.248510392437,-0.220593884455,0,280.0
neutral,,,1,1050,mult,2,1665,large,8_4_mult_true.jpg,101,True,1680,1.12237565392,0.116522377544,2,320.0
negative,,,1,1050,mult,2,1089,small,2_7_mult_true.jpg,101,True,1680,-0.249879532245,-0.316977495847,0,60.0
neutral,,,1,1050,add,2,1599,large,6_8_add_true.jpg,101,True,1680,0.225731436049,0.0582337318808,0,240.0
neutral,,,1,1050,add,1,1687,small,2_7_add_FI.jpg,101,False,1680,1.48653587383,1.55541791059,1,360.0
negative,,,1,1050,mult,2,1168,small,3_6_mult_true.jpg,101,True,1680,0.289014491275,0.190507731812,0,40.0
negative,,,1,1050,mult,1,1489,small,3_6_mult_FNI.jpg,101,False,1680,1.45960030432,1.63916408672,0,100.0
neutral,,,1,1050,add,2,1305,small,5_3_add_true.jpg,101,True,1680,-0.21816471936,-0.187746973607,0,300.0
neutral,,,1,1050,mult,1,1395,small,2_7_mult_FI.jpg,101,False,1680,1.09500476389,1.21172106825,0,240.0
negative,,,1,1050,mult,1,1652,large,4_9_mult_FI.jpg,101,False,1680,1.56781620174,1.66377407228,0,240.0
neutral,,,1,1050,mult,1,1521,small,3_6_mult_FNI.jpg,101,False,1680,1.40930607274,1.38549640529,0,320.0
neutral,,,0,1050,mult,2,1989,large,6_8_mult_FNI.jpg,101,False,1680,-0.339371991821,-0.407784734064,1,420.0
negative,,,1,1050,add,1,1439,small,5_3_add_FI.jpg,101,False,1680,0.886545620659,1.06867901687,4,100.0
neutral,,,1,1050,mult,1,1393,small,8_2_mult_FI.jpg,101,False,1680,0.900031163069,1.01508611756,1,220.0
neutral,,,1,1050,add,2,1340,large,4_9_add_true.jpg,101,True,1680,-0.161566412508,-0.139443478172,0,340.0
neutral,,,1,1050,add,1,1909,small,3_6_add_FNI.jpg,101,False,1680,1.50448690865,1.42633737323,0,280.0
negative,,,1,1050,mult,1,1420,small,5_3_mult_FNI.jpg,101,False,1680,1.60948106685,1.31253727851,0,380.0
neutral,,,1,1050,add,2,1262,small,3_6_add_true.jpg,101,True,1680,-0.139115500982,-0.0633602558175,0,320.0
neutral,,,1,1050,add,1,1312,small,3_6_add_FI.jpg,101,False,1680,1.31154441158,1.22548756431,2,60.0
neutral,,,1,1050,add,2,2268,large,9_7_add_true.jpg,101,True,1680,0.967076797157,0.0161961014073,3,40.0
negative,,,1,1050,mult,1,2339,small,3_6_mult_FI.jpg,101,False,1680,1.46659961248,0.517070554329,5,60.0
negative,,,1,1050,mult,1,1609,large,8_4_mult_FI.jpg,101,False,1680,1.30491456276,0.753410945192,1,40.0
neutral,,,1,1050,mult,2,1438,small,2_7_mult_true.jpg,101,True,1680,0.554700196225,-0.0550959067548,1,160.0
negative,,,1,1050,add,1,1636,small,5_3_add_FNI.jpg,101,False,1680,1.43999407301,0.786087740304,2,40.0
neutral,,,1,1050,mult,1,1458,small,3_6_mult_FI.jpg,101,False,1680,0.830199459214,0.836449109699,1,200.0
neutral,,,1,1050,add,2,1004,small,8_2_add_true.jpg,101,True,1680,0.165770655163,-0.0461075362868,0,180.0
negative,,,1,1050,mult,2,1591,large,4_9_mult_true.jpg,101,True,1680,1.31280334653,0.714214767783,3,40.0
neutral,,,1,1050,mult,2,1487,large,9_7_mult_true.jpg,101,True,1680,1.44615134937,0.951112383722,0,40.0
negative,,,1,1050,add,1,2135,large,4_9_add_FNI.jpg,101,False,1680,1.65002147015,1.1996167042,1,320.0
negative,,,1,1050,add,2,1242,small,2_7_add_true.jpg,101,True,1680,-0.317770260557,-0.386932508077,0,440.0
