SOAcondition,accuracy,height,operation,response,rt,size,stimulus,subject_nr,truth,width,md,auc,xflips,init_time
negative,1,1050,mult,2,192,large,4_9_mult_true.jpg,143,TRUE,1680,-0.06187638,-0.069508555,0,40
negative,1,1050,mult,1,265,large,6_8_mult_FI.jpg,143,FALSE,1680,-0.020029308,-0.002666191,0,20
negative,1,1050,add,1,323,large,6_8_add_FNI.jpg,143,FALSE,1680,-0.130331068,-0.114231096,0,80
negative,1,1050,add,1,343,large,6_8_add_true.jpg,104,TRUE,1680,0.115615227,0.163223843,0,40
neutral,1,1050,add,2,356,small,5_3_add_true.jpg,143,TRUE,1680,0.028606958,0.012188116,0,100
neutral,1,1050,add,2,362,small,8_2_add_true.jpg,143,TRUE,1680,-0.102580774,-0.110893581,0,40
negative,1,1050,mult,1,395,small,3_6_mult_FNI.jpg,143,FALSE,1680,0.077484502,0.020370653,0,40
negative,1,1050,mult,1,401,small,5_3_mult_FI.jpg,143,FALSE,1680,0.197103337,0.152623493,0,20
neutral,1,1050,mult,2,405,large,4_9_mult_true.jpg,143,TRUE,1680,0.113384128,0.138999117,0,140
negative,1,1050,add,2,411,small,2_7_add_true.jpg,143,TRUE,1680,0.038239189,0.036237864,0,140
negative,1,1050,mult,1,446,small,2_7_mult_FI.jpg,143,FALSE,1680,0.153679294,0.160149083,0,80
negative,1,1050,add,2,451,small,2_7_add_true.jpg,143,TRUE,1680,-0.104090722,-0.126566196,0,40
neutral,1,1050,mult,2,455,large,8_4_mult_true.jpg,143,TRUE,1680,0.350331839,0.462572484,0,40
neutral,1,1050,mult,2,455,small,8_2_mult_true.jpg,143,TRUE,1680,-0.154799723,-0.064429199,0,100
negative,1,1050,mult,2,460,large,8_4_mult_true.jpg,143,TRUE,1680,0.043765256,0.056811838,0,100
negative,1,1050,add,1,461,large,6_8_add_FI.jpg,143,FALSE,1680,-0.108071368,-0.091732161,0,40
neutral,1,1050,mult,2,469,small,3_6_mult_true.jpg,143,TRUE,1680,-0.089098188,-0.097094297,0,140
negative,1,1050,mult,1,471,large,8_4_mult_FNI.jpg,143,FALSE,1680,0.296880208,0.298847961,0,40
negative,1,1050,mult,2,473,small,8_2_mult_true.jpg,143,TRUE,1680,0.19132642,0.196422446,0,100
negative,1,1050,add,1,478,small,2_7_add_FI.jpg,143,FALSE,1680,-0.258558539,-0.200417817,0,40
neutral,1,1050,mult,2,479,small,8_2_mult_true.jpg,143,TRUE,1680,0.142943856,0.144164315,0,40
negative,1,1050,add,1,480,large,9_7_add_FI.jpg,143,FALSE,1680,-0.208168911,-0.198084087,0,80
negative,1,1050,add,2,481,small,5_3_add_true.jpg,143,TRUE,1680,0.058609706,0.04867421,0,140
negative,1,1050,mult,1,482,large,4_9_mult_true.jpg,104,TRUE,1680,0.10017001,0.113805796,0,240
negative,1,1050,mult,2,482,small,2_7_mult_true.jpg,143,TRUE,1680,-0.54300203,-0.522722959,0,40
neutral,1,1050,mult,1,485,small,3_6_mult_FI.jpg,143,FALSE,1680,0.052977191,-0.007354361,0,60
neutral,1,1050,add,2,490,small,3_6_add_true.jpg,143,TRUE,1680,0.108806332,0.010740816,0,180
negative,1,1050,mult,2,491,small,8_2_mult_true.jpg,143,TRUE,1680,-0.092307034,-0.108498526,0,20
negative,1,1050,add,1,493,large,6_8_add_FNI.jpg,143,FALSE,1680,0.127529522,0.123770725,0,40
negative,1,1050,mult,1,494,large,4_9_mult_true.jpg,104,TRUE,1680,0.086441788,0.090553619,0,200
neutral,1,1050,add,2,495,small,3_6_add_true.jpg,143,TRUE,1680,-0.100373695,-0.110596553,0,200
negative,1,1050,add,2,508,large,9_7_add_true.jpg,143,TRUE,1680,-0.07031867,-0.024887151,0,20
neutral,1,1050,add,1,510,small,3_6_add_FI.jpg,143,FALSE,1680,0.628660209,0.651719209,0,40
negative,1,1050,mult,2,514,large,9_7_mult_true.jpg,143,TRUE,1680,-0.246100988,-0.312550293,0,60
neutral,1,1050,add,1,515,large,8_4_add_FNI.jpg,143,FALSE,1680,0.14330005,0.214430873,0,120
neutral,1,1050,add,2,517,small,2_7_add_FI.jpg,104,FALSE,1680,-0.280382397,-0.267981953,0,240
negative,1,1050,add,1,517,small,3_6_add_FI.jpg,143,FALSE,1680,0.865957757,0.846768837,0,40
negative,1,1050,mult,1,518,small,5_3_mult_true.jpg,104,TRUE,1680,0.148197715,0.079348077,0,320
neutral,1,1050,mult,2,518,large,4_9_mult_true.jpg,143,TRUE,1680,0.11359962,0.126209623,0,260
neutral,1,1050,add,2,520,large,4_9_add_true.jpg,143,TRUE,1680,0.109143398,0.108340285,0,40
negative,1,1050,add,1,523,large,4_9_add_true.jpg,104,TRUE,1680,0.057416827,0.057396274,0,340
negative,1,1050,add,1,523,large,6_8_add_FI.jpg,143,FALSE,1680,-0.212289296,-0.173086704,0,40
negative,1,1050,mult,1,525,small,8_2_mult_FNI.jpg,143,FALSE,1680,-0.157906864,-0.147293053,0,40
negative,1,1050,mult,2,528,large,4_9_mult_true.jpg,129,TRUE,1680,0.216092247,0.251074856,0,40
neutral,1,1050,mult,2,528,small,5_3_mult_true.jpg,143,TRUE,1680,0.131647701,0.104935485,0,240
negative,1,1050,add,1,529,small,5_3_add_FNI.jpg,143,FALSE,1680,-0.140057171,-0.110236337,0,40
neutral,1,1050,mult,2,532,small,5_3_mult_true.jpg,129,TRUE,1680,0.096266157,0.075071287,0,220
neutral,1,1050,mult,2,534,small,5_3_mult_true.jpg,143,TRUE,1680,0.15586982,0.175380475,0,200
neutral,1,1050,mult,2,535,small,2_7_mult_FI.jpg,104,FALSE,1680,-0.230837806,-0.32668713,0,320
negative,1,1050,add,1,545,large,9_7_add_true.jpg,104,TRUE,1680,0.117180531,0.136293694,0,360
neutral,1,1050,mult,1,546,small,2_7_mult_true.jpg,104,TRUE,1680,0.088732728,0.11073663,0,260
negative,1,1050,mult,2,562,large,9_7_mult_FNI.jpg,104,FALSE,1680,0.030692722,0.011638571,0,300
negative,1,1050,mult,2,563,large,6_8_mult_true.jpg,143,TRUE,1680,0.110056189,0.109686121,0,260
neutral,1,1050,add,2,564,small,2_7_add_true.jpg,143,TRUE,1680,0.301853961,0.297745452,0,240
negative,1,1050,mult,1,571,large,6_8_mult_true.jpg,104,TRUE,1680,1.040286398,1.247996754,0,100
negative,1,1050,mult,2,571,large,8_4_mult_true.jpg,143,TRUE,1680,0.074524159,0.095131516,0,300
negative,1,1050,add,1,575,small,2_7_add_true.jpg,104,TRUE,1680,0.12137878,0.088573179,0,280
negative,1,1050,mult,2,575,small,3_6_mult_true.jpg,129,TRUE,1680,0.441034294,0.406530111,0,40
neutral,1,1050,mult,2,580,small,3_6_mult_true.jpg,129,TRUE,1680,-0.089424702,-0.064026634,0,100
neutral,1,1050,mult,1,580,large,4_9_mult_FNI.jpg,143,FALSE,1680,0.330118699,0.386761125,0,100
neutral,1,1050,mult,2,581,small,8_2_mult_true.jpg,129,TRUE,1680,0.439672305,0.497845886,0,180
negative,1,1050,mult,2,582,small,2_7_mult_true.jpg,129,TRUE,1680,0.07166961,0.08969533,0,280
negative,1,1050,mult,2,584,large,8_4_mult_true.jpg,143,TRUE,1680,0.328556663,0.307186655,0,100
negative,1,1050,add,1,589,small,2_7_add_FNI.jpg,143,FALSE,1680,0.136715786,0.148391057,0,240
negative,1,1050,add,2,590,large,9_7_add_true.jpg,143,TRUE,1680,0.29350927,0.292196272,0,300
neutral,1,1050,add,1,593,small,2_7_add_true.jpg,104,TRUE,1680,0.221821235,0.2410584,0,360
neutral,1,1050,add,2,597,small,8_2_add_true.jpg,143,TRUE,1680,0.284710535,0.381346551,0,300
negative,1,1050,add,2,598,large,8_4_add_true.jpg,129,TRUE,1680,0.10505992,0.075067806,0,380
neutral,1,1050,add,1,598,small,2_7_add_FNI.jpg,143,FALSE,1680,-0.104084739,-0.124064683,1,240
neutral,1,1050,add,1,598,large,9_7_add_FI.jpg,143,FALSE,1680,-0.391559908,-0.383969636,0,200
negative,1,1050,mult,1,600,small,3_6_mult_FNI.jpg,127,FALSE,1680,0.199240939,0.226592557,0,20
neutral,1,1050,mult,2,600,small,2_7_mult_true.jpg,129,TRUE,1680,0.502164694,0.529890844,0,60
neutral,1,1050,mult,1,601,large,6_8_mult_true.jpg,104,TRUE,1680,0.069302495,0.067848108,0,380
negative,1,1050,mult,2,603,small,5_3_mult_true.jpg,129,TRUE,1680,-0.060273269,0.012937539,0,300
neutral,1,1050,mult,2,603,large,6_8_mult_true.jpg,143,TRUE,1680,0.366045065,0.355171642,0,220
negative,1,1050,add,1,605,small,8_2_add_FNI.jpg,143,FALSE,1680,-0.291560847,-0.162156896,0,80
negative,1,1050,add,2,606,small,8_2_add_FNI.jpg,104,FALSE,1680,-0.331302823,-0.410480686,0,240
neutral,1,1050,add,2,607,large,6_8_add_true.jpg,129,TRUE,1680,0.089002884,-0.021277871,0,320
neutral,1,1050,mult,2,610,small,2_7_mult_true.jpg,129,TRUE,1680,0.313484468,0.36056154,0,220
negative,1,1050,add,2,614,small,5_3_add_true.jpg,143,TRUE,1680,0.029865216,0.008914502,0,320
negative,1,1050,mult,2,615,large,6_8_mult_true.jpg,129,TRUE,1680,-0.121190111,-0.062662869,0,380
neutral,1,1050,mult,2,616,small,2_7_mult_true.jpg,129,TRUE,1680,0.088749518,0.033035064,0,280
neutral,1,1050,mult,2,616,small,3_6_mult_true.jpg,143,TRUE,1680,0.266335756,0.318460215,0,340
neutral,1,1050,add,2,618,small,8_2_add_true.jpg,129,TRUE,1680,0.539586907,0.622359942,0,40
negative,1,1050,add,1,619,small,3_6_add_true.jpg,104,TRUE,1680,-0.102254231,-0.094901098,0,180
negative,1,1050,add,2,620,large,4_9_add_true.jpg,143,TRUE,1680,0.323974592,0.360998152,0,60
negative,1,1050,add,2,622,small,5_3_add_true.jpg,119,TRUE,1680,0.379860307,0.49923391,0,80
neutral,1,1050,mult,2,622,small,5_3_mult_true.jpg,129,TRUE,1680,0.638626776,0.669182403,0,120
